"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW9,SW50,SW83,SW60,SW86,SW62,SW6,SW93,SW77,SW39,SW37,SW70,SW13,SW78,SW54,SW15,SW79,SW52,SW53,SW41,SW76,SW2,SW66,SW7,SW64,SW88,SW55,SW19,SW34,SW65,SW14,SW10,SW98,SW59,SW26,SW84,SW97,SW71,SW22,SW67,SW23,SW1,SW33,SW3,SW85,SW36,SW35,SW4,SW8,SW42,SW21,SW56,SW49,SW82,SW43,SW28,SW32,SW31,SW69,SW61,SW29,SW17,SW12,SW40,SW20,SW73,SW11,SW48,SW16,SW25,SW30,SW100,SW74,SW72,SW80,SW5,SW81,SW101,SW87,SW24,SW63,SW46,SW44,SW99,SW89,SW45,SW75,SW27,SW58,SW47,SW68";"SW_MX_1u";91;"MX_SW_solder";;;
2;"D136,D195,D104,D134,D159,D106,D177,D139,D197,D122,D174,D178,D127,D113,D101,D182,D160,D126,D187,D109,D141,D153,D114,D173,D156,D110,D108,D162,D145,D194,D120,D107,D128,D184,D132,D180,D190,D167,D142,D105,D124,D123,D125,D188,D189,D115,D102,D170,D192,D176,D185,D111,D201,D112,D165,D166,D144,D157,D137,D196,D149,D169,D119,D171,D143,D140,D158,D161,D183,D133,D152,D181,D148,D151,D135,D191,D147,D117,D103,D154,D131,D155,D130,D118,D146,D164,D163,D121,D199,D200,D179,D129,D198,D138,D175,D172,D186,D150,D116,D193,D168";"LED_MX_3mm-ROT";101;"LED";;;
3;"LED3,LED1,LED4,LED2";"LED_D3.0mm";4;"LED";;;
4;"S1";"STAB_MX_6.25u";1;"MX_stab";;;
5;"SW38,SW51";"SW_MX_1.5u";2;"MX_SW_solder";;;
6;"SW94,SW90,SW92,SW96,SW18,SW95,SW91";"SW_MX_1.25u";7;"MX_SW_solder";;;
7;"S6,S7,S5";"STAB_MX_2u";3;"MX_stab";;;
8;"SW57";"SW_MX_1.75u";1;"MX_SW_solder";;;
9;"S4,S2";"STAB_MX_2.25u";2;"MX_stab";;;
10;"S3";"STAB_MX_2.75u";1;"MX_stab";;;
11;"D13,D24,D36,D4,D30,D39,D38,D35,D50,D34,D31,D14,D45,D3,D8,D26,D32,D18,D16,D21,D12,D44,D7,D9,D11,D25,D28,D1,D40,D6,D41,D37,D10,D2,D51,D52,D23,D27,D17,D22,D42,D15,D47,D43,D5,D29,D19,D46,D48,D20,D49,D33";"SOT-23";52;"D_Dual_CommonCathode_AAK_Split";;;
12;"U7,U8,U6,U5,U10,U9,U4";"QFN-24_MPQ3326_MNP";7;"MPQ3326GR-AEC1-P";;;
13;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072CBT6";;;
14;"R10,R18,R8,R24,R21,R11,R7,R15,R16,R22,R19,R25,R28,R27";"R_0805_2012Metric";14;"110k";;;
15;"C13,C15,C9,C16,C10,C12,C11,C7,C14";"C_0805_2012Metric";9;"10uF";;;
16;"C8";"C_0805_2012Metric";1;"1nF";;;
17;"U3";"SOT-143";1;"PRTR5V0U2X";;;
18;"SW102";"SW_SPDT_PCM12";1;"SW_SPDT";;;
19;"R14,R13";"R_0805_2012Metric";2;"4.7k";;;
20;"R1,R4,R2,R12,R20,R23,R9,R3,R26,R17";"R_0805_2012Metric";10;"10k";;;
21;"C2,C3,C1,C4";"C_0805_2012Metric";4;"0.1uF";;;
22;"FB3,FB4,FB6,FB2,FB8,FB5,FB7";"R_0805_2012Metric";7;"300";;;
23;"TP2";"TestPoint_Pad_D1.0mm";1;"SWCLK";;;
24;"TP3";"TestPoint_Pad_D1.0mm";1;"RESET";;;
25;"C6";"C_0805_2012Metric";1;"10nF";;;
26;"TP4";"TestPoint_Pad_D1.0mm";1;"3V3";;;
27;"TP1";"TestPoint_Pad_D1.0mm";1;"SWDIO";;;
28;"TP5";"TestPoint_Pad_D1.0mm";1;"GND";;;
29;"U11";"SOT-353_SC-70-5";1;"74LVC1G86";;;
30;"R6,R5";"R_0805_2012Metric";2;"5.1k";;;
31;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
32;"C5";"C_0805_2012Metric";1;"4.7uF";;;
33;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"MCP1725-3302E_SN";;;
34;"FB1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
